Day Index,Sessions
01/06/2017,0
02/06/2017,0
03/06/2017,0
04/06/2017,0
05/06/2017,0
06/06/2017,0
07/06/2017,0
08/06/2017,0
09/06/2017,0
10/06/2017,0
11/06/2017,0
12/06/2017,0
13/06/2017,0
14/06/2017,0
15/06/2017,0
16/06/2017,0
17/06/2017,0
18/06/2017,0
19/06/2017,0
20/06/2017,0
21/06/2017,0
22/06/2017,0
23/06/2017,0
24/06/2017,0
25/06/2017,0
26/06/2017,0
27/06/2017,0
28/06/2017,0
29/06/2017,0
30/06/2017,0
01/07/2017,0
02/07/2017,0
03/07/2017,0
04/07/2017,0
05/07/2017,0
06/07/2017,0
07/07/2017,0
08/07/2017,0
09/07/2017,0
10/07/2017,0
11/07/2017,0
12/07/2017,0
13/07/2017,0
14/07/2017,0
15/07/2017,116
16/07/2017,169
17/07/2017,144
18/07/2017,131
19/07/2017,116
20/07/2017,124
21/07/2017,79
22/07/2017,123
23/07/2017,119
24/07/2017,114
25/07/2017,124
26/07/2017,155
27/07/2017,124
28/07/2017,104
29/07/2017,75
30/07/2017,88
31/07/2017,138
01/08/2017,96
02/08/2017,72
03/08/2017,89
04/08/2017,81
05/08/2017,42
06/08/2017,68
07/08/2017,129
08/08/2017,81
09/08/2017,99
10/08/2017,104
11/08/2017,82
12/08/2017,105
13/08/2017,132
14/08/2017,239
15/08/2017,260
16/08/2017,287
17/08/2017,393
18/08/2017,376
19/08/2017,287
20/08/2017,212
21/08/2017,219
22/08/2017,236
23/08/2017,178
24/08/2017,197
25/08/2017,154
26/08/2017,168
27/08/2017,166
28/08/2017,179
29/08/2017,188
30/08/2017,173
31/08/2017,175
01/09/2017,117
02/09/2017,89
03/09/2017,66
04/09/2017,83
05/09/2017,103
06/09/2017,134
07/09/2017,138
08/09/2017,100
09/09/2017,80
10/09/2017,83
11/09/2017,105
12/09/2017,104
13/09/2017,83
14/09/2017,66
15/09/2017,59
16/09/2017,48
17/09/2017,53
18/09/2017,54
19/09/2017,61
20/09/2017,40
21/09/2017,68
22/09/2017,58
23/09/2017,42
24/09/2017,45
25/09/2017,65
26/09/2017,80
27/09/2017,51
28/09/2017,56
29/09/2017,34
30/09/2017,34
01/10/2017,52
02/10/2017,42
03/10/2017,45
04/10/2017,51
05/10/2017,23
06/10/2017,15
07/10/2017,28
08/10/2017,15
09/10/2017,45
10/10/2017,29
11/10/2017,34
